id;name;region;lat;lon;num_procesos;year
50;META;ORINOQUIA;3,52430246;-73,40457481;3511;2020
52;NARIÑO;PACIFICO;1,518773687;-77,85150901;3468;2020
54;NORTE DE SANTANDER;ANDINA;8,027319666;-72,81242941;4682;2020
86;PUTUMAYO;AMAZONAS;0,682887532;-76,51931318;1862;2020
63;QUINDÍO;ANDINA;4,536916104;-75,70956304;1248;2020
66;RISARALDA;ANDINA;4,927640435;-75,75645712;6782;2020
68;SANTANDER;ANDINA;6,699296999;-73,44516941;8665;2020
70;SUCRE;CARIBE;9,16560727;-75,2030009;2939;2020
73;TOLIMA;ANDINA;4,244991858;-75,08113601;3164;2020
76;VALLE DEL CAUCA;PACIFICO;3,813677073;-76,4620892;25928;2020
97;VAUPÉS;AMAZONAS;0,819094895;-70,31091261;135;2020
99;VICHADA;ORINOQUIA;4,948929777;-69,3673472;403;2020
